UID,title
tacl-8001,Morphology Without Borders: Clause-Level Morphology
tacl-8002,OPAL: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue
tacl-8003,Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models for Open-Domain Question-Answering
tacl-8004,Transformer Grammars: Augmenting Transformer Language Models with Syntactic Inductive Biases at Scale
tacl-8005,True Few-Shot Learning With Prompts - A Real-World Perspective
tacl-8006,"Generate, Annotate, and Learn: NLP with Synthetic Text"
tacl-8007,Learning English with Peppa Pig
tacl-8008,Structural Persistence in Language Models: Priming as a Window into Abstract Language Representations
tacl-8009,ProoFVer: Natural Logic Theorem Proving for Fact Verification
tacl-8010,Naturalistic Causal Probing for Morpho-Syntax
tacl-8011,Modeling Non-Cooperative Dialogue: Theoretical and Empirical Insights
tacl-8012,Diff-Explainer: Differentiable Convex Optimization for Explainable Multi-hop Inference
tacl-8013,Learning Fair Representations via Rate-Distortion Maximization
tacl-8014,Template-based Abstractive Microblog Opinion Summarisation
tacl-8015,Meta-Learning the Difference: Preparing Large Language Models for Efficient Adaptation
tacl-8016,Draw Me a Flower: Processing and Grounding Abstraction in Natural Language
tacl-8017,"Causal Inference in Natural Language Processing: Estimation, Prediction, Interpretation and Beyond"
tacl-8018,Multi-task Active Learning for Pre-trained Transformer-based Models
tacl-8019,Saturated Transformers are Constant-Depth Threshold Circuits
tacl-8020,Unit Tests for Concepts in Neural Networks
tacl-8021,On the Role of Negative Precedent in Legal Outcome Prediction
tacl-8022,Typical Decoding for Natural Language Generation
tacl-8023,Assessing the capacity of transformer to abstract syntactic representations: a contrastive analysis based on long-distance agreement
tacl-8024,Compositional Generalization in Multilingual Semantic Parsing over Wikidata
tacl-8025,Evaluating Attribution in Dialogue Systems: The BEGIN Benchmark
tacl-8026,Investigating Reasons for Disagreement in Natural Language Inference
tacl-8027,A Survey on Cross-Lingual Summarization
